Namespace(model_path='../../checkpoints/resnet18_cifar10_200.pt', no_cuda=False, target_num=5, test_batch_size=50)
target count: 5
Files already downloaded and verified
======Load Model======
======Make Targets======
======Start Attack======
=======Attacking Target 0=======
Trying: 1 ------> some others
theta_m tensor(-4.1797, device='cuda:0') tensor(3.0567, device='cuda:0')
theta_p tensor(-3.6543, device='cuda:0') tensor(3.0656, device='cuda:0')
=========Processing epoch 0=========
step:   1, lambda: 0.00000, attack: 1.000, cls: 16.717069, reg: 513.283713, reg_best: 513.283713
initialize lambda to 0.00100
step:   2, lambda: 0.00100, attack: 1.000, cls: 18.576838, reg: 511.588283, reg_best: 511.588283
step:   3, lambda: 0.00100, attack: 1.000, cls: 19.551249, reg: 509.866222, reg_best: 509.866222
step:   4, lambda: 0.00100, attack: 1.000, cls: 20.128173, reg: 509.188797, reg_best: 509.188797
step:   5, lambda: 0.00100, attack: 1.000, cls: 20.548303, reg: 509.793658, reg_best: 509.188797
step:   6, lambda: 0.00100, attack: 1.000, cls: 21.373662, reg: 509.995807, reg_best: 509.188797
step:   7, lambda: 0.00100, attack: 1.000, cls: 22.029473, reg: 512.422272, reg_best: 509.188797
step:   8, lambda: 0.00100, attack: 1.000, cls: 22.503978, reg: 511.919037, reg_best: 509.188797
step:   9, lambda: 0.00100, attack: 1.000, cls: 22.597840, reg: 512.443126, reg_best: 509.188797
step:  10, lambda: 0.00100, attack: 1.000, cls: 22.809057, reg: 512.760036, reg_best: 509.188797
step:  11, lambda: 0.00100, attack: 1.000, cls: 23.052474, reg: 513.248149, reg_best: 509.188797
up lambda from 0.00100 to 0.00200
step:  12, lambda: 0.00200, attack: 1.000, cls: 23.321992, reg: 511.958702, reg_best: 509.188797
step:  13, lambda: 0.00200, attack: 1.000, cls: 23.739452, reg: 511.134343, reg_best: 509.188797
step:  14, lambda: 0.00200, attack: 1.000, cls: 24.058036, reg: 510.850209, reg_best: 509.188797
step:  15, lambda: 0.00200, attack: 1.000, cls: 24.342860, reg: 513.133583, reg_best: 509.188797
step:  16, lambda: 0.00200, attack: 1.000, cls: 24.612778, reg: 512.329129, reg_best: 509.188797
step:  17, lambda: 0.00200, attack: 1.000, cls: 24.648737, reg: 514.032001, reg_best: 509.188797
step:  18, lambda: 0.00200, attack: 1.000, cls: 24.800272, reg: 513.226535, reg_best: 509.188797
step:  19, lambda: 0.00200, attack: 1.000, cls: 25.008081, reg: 508.371541, reg_best: 508.371541
step:  20, lambda: 0.00200, attack: 1.000, cls: 24.920883, reg: 505.996390, reg_best: 505.996390
step:  21, lambda: 0.00200, attack: 1.000, cls: 25.011568, reg: 503.432016, reg_best: 503.432016
up lambda from 0.00200 to 0.00400
step:  22, lambda: 0.00400, attack: 1.000, cls: 25.431945, reg: 504.856357, reg_best: 503.432016
step:  23, lambda: 0.00400, attack: 1.000, cls: 25.846572, reg: 502.359004, reg_best: 502.359004
step:  24, lambda: 0.00400, attack: 1.000, cls: 25.785572, reg: 501.569919, reg_best: 501.569919
step:  25, lambda: 0.00400, attack: 1.000, cls: 25.855036, reg: 499.715773, reg_best: 499.715773
step:  26, lambda: 0.00400, attack: 1.000, cls: 25.934523, reg: 499.487305, reg_best: 499.487305
step:  27, lambda: 0.00400, attack: 1.000, cls: 25.920200, reg: 500.860057, reg_best: 499.487305
step:  28, lambda: 0.00400, attack: 1.000, cls: 25.887133, reg: 500.746124, reg_best: 499.487305
step:  29, lambda: 0.00400, attack: 1.000, cls: 26.085449, reg: 498.017030, reg_best: 498.017030
step:  30, lambda: 0.00400, attack: 1.000, cls: 25.881792, reg: 497.788823, reg_best: 497.788823
step:  31, lambda: 0.00400, attack: 1.000, cls: 25.830914, reg: 495.295744, reg_best: 495.295744
up lambda from 0.00400 to 0.00800
step:  32, lambda: 0.00800, attack: 1.000, cls: 25.851624, reg: 492.881436, reg_best: 492.881436
step:  33, lambda: 0.00800, attack: 1.000, cls: 26.043540, reg: 493.573132, reg_best: 492.881436
step:  34, lambda: 0.00800, attack: 1.000, cls: 26.122760, reg: 492.448291, reg_best: 492.448291
step:  35, lambda: 0.00800, attack: 1.000, cls: 26.037581, reg: 491.677341, reg_best: 491.677341
step:  36, lambda: 0.00800, attack: 1.000, cls: 26.006338, reg: 494.159747, reg_best: 491.677341
step:  37, lambda: 0.00800, attack: 1.000, cls: 26.037306, reg: 492.315453, reg_best: 491.677341
step:  38, lambda: 0.00800, attack: 1.000, cls: 26.209450, reg: 495.629860, reg_best: 491.677341
step:  39, lambda: 0.00800, attack: 1.000, cls: 26.269025, reg: 494.957956, reg_best: 491.677341
step:  40, lambda: 0.00800, attack: 1.000, cls: 26.329610, reg: 495.225551, reg_best: 491.677341
step:  41, lambda: 0.00800, attack: 1.000, cls: 26.454070, reg: 495.059694, reg_best: 491.677341
up lambda from 0.00800 to 0.01600
step:  42, lambda: 0.01600, attack: 1.000, cls: 26.656698, reg: 492.858498, reg_best: 491.677341
step:  43, lambda: 0.01600, attack: 1.000, cls: 26.661840, reg: 490.178296, reg_best: 490.178296
step:  44, lambda: 0.01600, attack: 1.000, cls: 26.834939, reg: 490.265254, reg_best: 490.178296
step:  45, lambda: 0.01600, attack: 1.000, cls: 26.892628, reg: 487.063451, reg_best: 487.063451
step:  46, lambda: 0.01600, attack: 1.000, cls: 27.016648, reg: 484.844769, reg_best: 484.844769
step:  47, lambda: 0.01600, attack: 1.000, cls: 27.070172, reg: 483.056789, reg_best: 483.056789
step:  48, lambda: 0.01600, attack: 1.000, cls: 27.183666, reg: 483.030791, reg_best: 483.030791
step:  49, lambda: 0.01600, attack: 1.000, cls: 27.242023, reg: 482.696269, reg_best: 482.696269
step:  50, lambda: 0.01600, attack: 1.000, cls: 27.437750, reg: 481.109967, reg_best: 481.109967
step:  51, lambda: 0.01600, attack: 1.000, cls: 27.591732, reg: 478.653476, reg_best: 478.653476
up lambda from 0.01600 to 0.03200
step:  52, lambda: 0.03200, attack: 1.000, cls: 27.607038, reg: 476.911757, reg_best: 476.911757
step:  53, lambda: 0.03200, attack: 1.000, cls: 27.710085, reg: 475.770775, reg_best: 475.770775
step:  54, lambda: 0.03200, attack: 1.000, cls: 27.741328, reg: 471.914339, reg_best: 471.914339
step:  55, lambda: 0.03200, attack: 1.000, cls: 27.649536, reg: 467.977063, reg_best: 467.977063
step:  56, lambda: 0.03200, attack: 1.000, cls: 27.620823, reg: 466.570372, reg_best: 466.570372
step:  57, lambda: 0.03200, attack: 1.000, cls: 27.481361, reg: 462.579260, reg_best: 462.579260
step:  58, lambda: 0.03200, attack: 1.000, cls: 27.465203, reg: 463.669926, reg_best: 462.579260
step:  59, lambda: 0.03200, attack: 1.000, cls: 27.403855, reg: 460.752837, reg_best: 460.752837
step:  60, lambda: 0.03200, attack: 1.000, cls: 27.364620, reg: 457.276152, reg_best: 457.276152
step:  61, lambda: 0.03200, attack: 1.000, cls: 27.301443, reg: 452.068637, reg_best: 452.068637
up lambda from 0.03200 to 0.06400
step:  62, lambda: 0.06400, attack: 1.000, cls: 27.377459, reg: 446.182603, reg_best: 446.182603
step:  63, lambda: 0.06400, attack: 1.000, cls: 27.495905, reg: 443.033612, reg_best: 443.033612
step:  64, lambda: 0.06400, attack: 1.000, cls: 27.447646, reg: 439.423497, reg_best: 439.423497
step:  65, lambda: 0.06400, attack: 1.000, cls: 27.506055, reg: 438.104720, reg_best: 438.104720
step:  66, lambda: 0.06400, attack: 1.000, cls: 27.495105, reg: 435.780043, reg_best: 435.780043
step:  67, lambda: 0.06400, attack: 1.000, cls: 27.439112, reg: 430.515007, reg_best: 430.515007
step:  68, lambda: 0.06400, attack: 1.000, cls: 27.468184, reg: 426.077089, reg_best: 426.077089
step:  69, lambda: 0.06400, attack: 1.000, cls: 27.516369, reg: 420.228419, reg_best: 420.228419
step:  70, lambda: 0.06400, attack: 1.000, cls: 27.673618, reg: 417.405835, reg_best: 417.405835
step:  71, lambda: 0.06400, attack: 1.000, cls: 27.706870, reg: 414.251932, reg_best: 414.251932
up lambda from 0.06400 to 0.12800
step:  72, lambda: 0.12800, attack: 1.000, cls: 27.697464, reg: 408.872997, reg_best: 408.872997
step:  73, lambda: 0.12800, attack: 1.000, cls: 27.457679, reg: 400.092140, reg_best: 400.092140
step:  74, lambda: 0.12800, attack: 1.000, cls: 27.372629, reg: 389.852390, reg_best: 389.852390
step:  75, lambda: 0.12800, attack: 1.000, cls: 27.342620, reg: 381.510886, reg_best: 381.510886
step:  76, lambda: 0.12800, attack: 1.000, cls: 27.413674, reg: 376.017690, reg_best: 376.017690
step:  77, lambda: 0.12800, attack: 1.000, cls: 27.248399, reg: 368.181093, reg_best: 368.181093
step:  78, lambda: 0.12800, attack: 1.000, cls: 27.141999, reg: 358.011827, reg_best: 358.011827
step:  79, lambda: 0.12800, attack: 1.000, cls: 27.140507, reg: 348.613205, reg_best: 348.613205
step:  80, lambda: 0.12800, attack: 1.000, cls: 27.135347, reg: 340.932367, reg_best: 340.932367
step:  81, lambda: 0.12800, attack: 1.000, cls: 27.108480, reg: 333.676004, reg_best: 333.676004
up lambda from 0.12800 to 0.25600
step:  82, lambda: 0.25600, attack: 1.000, cls: 26.842630, reg: 322.485966, reg_best: 322.485966
step:  83, lambda: 0.25600, attack: 1.000, cls: 26.502466, reg: 305.370502, reg_best: 305.370502
step:  84, lambda: 0.25600, attack: 1.000, cls: 26.263066, reg: 290.142953, reg_best: 290.142953
step:  85, lambda: 0.25600, attack: 1.000, cls: 25.898725, reg: 273.175940, reg_best: 273.175940
step:  86, lambda: 0.25600, attack: 1.000, cls: 25.612358, reg: 255.689824, reg_best: 255.689824
step:  87, lambda: 0.25600, attack: 1.000, cls: 25.253075, reg: 239.692024, reg_best: 239.692024
step:  88, lambda: 0.25600, attack: 1.000, cls: 25.201550, reg: 225.583022, reg_best: 225.583022
step:  89, lambda: 0.25600, attack: 1.000, cls: 24.929135, reg: 213.669585, reg_best: 213.669585
step:  90, lambda: 0.25600, attack: 1.000, cls: 24.655004, reg: 203.426445, reg_best: 203.426445
step:  91, lambda: 0.25600, attack: 1.000, cls: 24.476063, reg: 191.991320, reg_best: 191.991320
up lambda from 0.25600 to 0.51200
step:  92, lambda: 0.51200, attack: 1.000, cls: 23.996087, reg: 173.071339, reg_best: 173.071339
step:  93, lambda: 0.51200, attack: 1.000, cls: 23.219428, reg: 148.247417, reg_best: 148.247417
step:  94, lambda: 0.51200, attack: 1.000, cls: 22.666480, reg: 131.258693, reg_best: 131.258693
step:  95, lambda: 0.51200, attack: 1.000, cls: 22.299807, reg: 117.504503, reg_best: 117.504503
step:  96, lambda: 0.51200, attack: 1.000, cls: 22.026592, reg: 106.228621, reg_best: 106.228621
step:  97, lambda: 0.51200, attack: 1.000, cls: 21.559964, reg: 95.048434, reg_best: 95.048434
step:  98, lambda: 0.51200, attack: 1.000, cls: 20.863236, reg: 84.298458, reg_best: 84.298458
step:  99, lambda: 0.51200, attack: 1.000, cls: 20.116242, reg: 73.677733, reg_best: 73.677733
step: 100, lambda: 0.51200, attack: 1.000, cls: 19.591393, reg: 64.600963, reg_best: 64.600963
step: 101, lambda: 0.51200, attack: 1.000, cls: 18.951845, reg: 55.659838, reg_best: 55.659838
up lambda from 0.51200 to 1.02400
step: 102, lambda: 1.02400, attack: 1.000, cls: 18.161434, reg: 45.974117, reg_best: 45.974117
step: 103, lambda: 1.02400, attack: 1.000, cls: 17.127507, reg: 37.108424, reg_best: 37.108424
step: 104, lambda: 1.02400, attack: 1.000, cls: 16.408983, reg: 31.530407, reg_best: 31.530407
step: 105, lambda: 1.02400, attack: 1.000, cls: 15.387723, reg: 26.243041, reg_best: 26.243041
step: 106, lambda: 1.02400, attack: 1.000, cls: 14.579527, reg: 21.656244, reg_best: 21.656244
step: 107, lambda: 1.02400, attack: 1.000, cls: 13.770790, reg: 18.145243, reg_best: 18.145243
