Namespace(model_path='../../checkpoints/resnet18_cifar10_200.pt', no_cuda=False, target_num=50, test_batch_size=50)
target count: 50
Files already downloaded and verified
======Load Model======
======Make Targets======
======Start Attack======
=======Attacking Target 0=======
Trying: 2 ------> some others
theta_m tensor(-2.9399, device='cuda:0') tensor(3.2508, device='cuda:0')
theta_p tensor(-4.3311, device='cuda:0') tensor(4.4902, device='cuda:0')
step:   1, lambda: 0.00000, attack: 0.900, cls: 19.095261, reg: 511.417917, reg_best: inf
step:   2, lambda: 0.00000, attack: 1.000, cls: 28.938983, reg: 512.720853, reg_best: 512.720853
initialize lambda to 0.00100
step:   3, lambda: 0.00100, attack: 1.000, cls: 32.087826, reg: 514.538580, reg_best: 512.720853
step:   4, lambda: 0.00100, attack: 1.000, cls: 33.734200, reg: 515.540231, reg_best: 512.720853
step:   5, lambda: 0.00100, attack: 1.000, cls: 35.169582, reg: 514.912622, reg_best: 512.720853
step:   6, lambda: 0.00100, attack: 1.000, cls: 36.381208, reg: 515.700400, reg_best: 512.720853
step:   7, lambda: 0.00100, attack: 1.000, cls: 37.542841, reg: 516.364331, reg_best: 512.720853
step:   8, lambda: 0.00100, attack: 1.000, cls: 38.963961, reg: 520.023471, reg_best: 512.720853
step:   9, lambda: 0.00100, attack: 1.000, cls: 39.679643, reg: 522.216882, reg_best: 512.720853
step:  10, lambda: 0.00100, attack: 1.000, cls: 40.892685, reg: 520.504474, reg_best: 512.720853
step:  11, lambda: 0.00100, attack: 1.000, cls: 41.900272, reg: 521.402829, reg_best: 512.720853
step:  12, lambda: 0.00100, attack: 1.000, cls: 42.687980, reg: 523.549667, reg_best: 512.720853
up lambda from 0.00100 to 0.00200
step:  13, lambda: 0.00200, attack: 1.000, cls: 43.614554, reg: 523.347040, reg_best: 512.720853
step:  14, lambda: 0.00200, attack: 1.000, cls: 44.512560, reg: 524.413025, reg_best: 512.720853
step:  15, lambda: 0.00200, attack: 1.000, cls: 45.335939, reg: 524.586917, reg_best: 512.720853
step:  16, lambda: 0.00200, attack: 1.000, cls: 45.954507, reg: 525.451862, reg_best: 512.720853
step:  17, lambda: 0.00200, attack: 1.000, cls: 46.578784, reg: 526.465567, reg_best: 512.720853
step:  18, lambda: 0.00200, attack: 1.000, cls: 47.612591, reg: 528.035504, reg_best: 512.720853
step:  19, lambda: 0.00200, attack: 1.000, cls: 48.411192, reg: 528.014310, reg_best: 512.720853
step:  20, lambda: 0.00200, attack: 1.000, cls: 48.660022, reg: 528.393680, reg_best: 512.720853
step:  21, lambda: 0.00200, attack: 1.000, cls: 49.170564, reg: 530.250699, reg_best: 512.720853
step:  22, lambda: 0.00200, attack: 1.000, cls: 49.930825, reg: 531.601065, reg_best: 512.720853
up lambda from 0.00200 to 0.00400
step:  23, lambda: 0.00400, attack: 1.000, cls: 50.847127, reg: 529.887982, reg_best: 512.720853
step:  24, lambda: 0.00400, attack: 1.000, cls: 51.466265, reg: 531.569684, reg_best: 512.720853
step:  25, lambda: 0.00400, attack: 1.000, cls: 51.342136, reg: 532.853647, reg_best: 512.720853
step:  26, lambda: 0.00400, attack: 1.000, cls: 51.724113, reg: 531.791385, reg_best: 512.720853
step:  27, lambda: 0.00400, attack: 1.000, cls: 52.196424, reg: 531.203101, reg_best: 512.720853
step:  28, lambda: 0.00400, attack: 1.000, cls: 52.758526, reg: 528.701755, reg_best: 512.720853
step:  29, lambda: 0.00400, attack: 1.000, cls: 52.979718, reg: 527.857831, reg_best: 512.720853
step:  30, lambda: 0.00400, attack: 1.000, cls: 52.995188, reg: 526.488144, reg_best: 512.720853
step:  31, lambda: 0.00400, attack: 1.000, cls: 53.032549, reg: 527.715625, reg_best: 512.720853
step:  32, lambda: 0.00400, attack: 1.000, cls: 52.995826, reg: 526.807095, reg_best: 512.720853
up lambda from 0.00400 to 0.00800
step:  33, lambda: 0.00800, attack: 1.000, cls: 53.434729, reg: 525.195624, reg_best: 512.720853
step:  34, lambda: 0.00800, attack: 1.000, cls: 54.074601, reg: 526.216855, reg_best: 512.720853
step:  35, lambda: 0.00800, attack: 1.000, cls: 54.333742, reg: 525.239386, reg_best: 512.720853
step:  36, lambda: 0.00800, attack: 1.000, cls: 55.198206, reg: 525.971695, reg_best: 512.720853
