Namespace(model_path='../../checkpoints/resnet18_cifar10_200.pt', no_cuda=False, target_num=20, test_batch_size=50)
target count: 20
Files already downloaded and verified
======Load Model======
======Make Targets======
======Start Attack======
=======Attacking Target 0=======
Trying: 6 ------> some others
theta_m tensor(-7.1665, device='cuda:0') tensor(3.9930, device='cuda:0')
theta_p tensor(-4.4273, device='cuda:0') tensor(4.5398, device='cuda:0')
=========Processing epoch 0=========
step:   1, lambda: 0.00000, attack: 0.950, cls: 20.510497, reg: 507.344713, reg_best: 507.344713
initialize lambda to 0.00100
step:   2, lambda: 0.00100, attack: 1.000, cls: 27.358725, reg: 507.876414, reg_best: 507.344713
step:   3, lambda: 0.00100, attack: 1.000, cls: 30.233107, reg: 509.177261, reg_best: 507.344713
step:   4, lambda: 0.00100, attack: 1.000, cls: 31.497065, reg: 510.522072, reg_best: 507.344713
step:   5, lambda: 0.00100, attack: 1.000, cls: 31.715957, reg: 513.931744, reg_best: 507.344713
step:   6, lambda: 0.00100, attack: 1.000, cls: 33.111700, reg: 516.191254, reg_best: 507.344713
step:   7, lambda: 0.00100, attack: 1.000, cls: 33.824024, reg: 513.321655, reg_best: 507.344713
step:   8, lambda: 0.00100, attack: 1.000, cls: 34.776526, reg: 512.220329, reg_best: 507.344713
step:   9, lambda: 0.00100, attack: 1.000, cls: 35.511874, reg: 514.777222, reg_best: 507.344713
step:  10, lambda: 0.00100, attack: 1.000, cls: 35.708316, reg: 515.683438, reg_best: 507.344713
step:  11, lambda: 0.00100, attack: 1.000, cls: 36.238648, reg: 517.261017, reg_best: 507.344713
up lambda from 0.00100 to 0.00200
step:  12, lambda: 0.00200, attack: 1.000, cls: 36.328266, reg: 520.900623, reg_best: 507.344713
step:  13, lambda: 0.00200, attack: 1.000, cls: 36.694206, reg: 523.275876, reg_best: 507.344713
step:  14, lambda: 0.00200, attack: 1.000, cls: 37.679845, reg: 526.385880, reg_best: 507.344713
step:  15, lambda: 0.00200, attack: 1.000, cls: 38.583255, reg: 526.370511, reg_best: 507.344713
step:  16, lambda: 0.00200, attack: 1.000, cls: 38.838264, reg: 527.293011, reg_best: 507.344713
step:  17, lambda: 0.00200, attack: 1.000, cls: 39.169129, reg: 527.616135, reg_best: 507.344713
step:  18, lambda: 0.00200, attack: 1.000, cls: 39.151297, reg: 527.136447, reg_best: 507.344713
step:  19, lambda: 0.00200, attack: 1.000, cls: 39.744113, reg: 527.346835, reg_best: 507.344713
step:  20, lambda: 0.00200, attack: 1.000, cls: 40.323800, reg: 529.166354, reg_best: 507.344713
step:  21, lambda: 0.00200, attack: 1.000, cls: 40.709679, reg: 530.747263, reg_best: 507.344713
up lambda from 0.00200 to 0.00400
step:  22, lambda: 0.00400, attack: 1.000, cls: 40.967882, reg: 532.552847, reg_best: 507.344713
step:  23, lambda: 0.00400, attack: 1.000, cls: 41.276721, reg: 533.437384, reg_best: 507.344713
step:  24, lambda: 0.00400, attack: 1.000, cls: 41.744373, reg: 533.539899, reg_best: 507.344713
step:  25, lambda: 0.00400, attack: 1.000, cls: 41.837255, reg: 531.064749, reg_best: 507.344713
step:  26, lambda: 0.00400, attack: 1.000, cls: 42.271269, reg: 530.927310, reg_best: 507.344713
step:  27, lambda: 0.00400, attack: 1.000, cls: 42.451221, reg: 528.091345, reg_best: 507.344713
step:  28, lambda: 0.00400, attack: 1.000, cls: 42.930606, reg: 528.129568, reg_best: 507.344713
step:  29, lambda: 0.00400, attack: 1.000, cls: 42.971775, reg: 526.857971, reg_best: 507.344713
step:  30, lambda: 0.00400, attack: 1.000, cls: 42.913012, reg: 524.892441, reg_best: 507.344713
step:  31, lambda: 0.00400, attack: 1.000, cls: 43.080333, reg: 525.982260, reg_best: 507.344713
up lambda from 0.00400 to 0.00800
step:  32, lambda: 0.00800, attack: 1.000, cls: 43.326866, reg: 526.274344, reg_best: 507.344713
step:  33, lambda: 0.00800, attack: 1.000, cls: 43.283799, reg: 528.758066, reg_best: 507.344713
step:  34, lambda: 0.00800, attack: 1.000, cls: 43.478105, reg: 529.991922, reg_best: 507.344713
step:  35, lambda: 0.00800, attack: 1.000, cls: 43.375813, reg: 530.800507, reg_best: 507.344713
step:  36, lambda: 0.00800, attack: 1.000, cls: 43.245585, reg: 532.196176, reg_best: 507.344713
step:  37, lambda: 0.00800, attack: 1.000, cls: 43.485549, reg: 530.682120, reg_best: 507.344713
step:  38, lambda: 0.00800, attack: 1.000, cls: 44.013746, reg: 527.841129, reg_best: 507.344713
step:  39, lambda: 0.00800, attack: 1.000, cls: 44.059092, reg: 527.584995, reg_best: 507.344713
step:  40, lambda: 0.00800, attack: 1.000, cls: 44.222001, reg: 526.061423, reg_best: 507.344713
step:  41, lambda: 0.00800, attack: 1.000, cls: 44.159918, reg: 525.725711, reg_best: 507.344713
up lambda from 0.00800 to 0.01600
step:  42, lambda: 0.01600, attack: 1.000, cls: 44.106157, reg: 526.731830, reg_best: 507.344713
step:  43, lambda: 0.01600, attack: 1.000, cls: 44.368645, reg: 527.441321, reg_best: 507.344713
step:  44, lambda: 0.01600, attack: 1.000, cls: 44.602031, reg: 528.900665, reg_best: 507.344713
step:  45, lambda: 0.01600, attack: 1.000, cls: 44.896357, reg: 530.241077, reg_best: 507.344713
step:  46, lambda: 0.01600, attack: 1.000, cls: 45.120468, reg: 530.891595, reg_best: 507.344713
step:  47, lambda: 0.01600, attack: 1.000, cls: 45.255109, reg: 529.442902, reg_best: 507.344713
step:  48, lambda: 0.01600, attack: 1.000, cls: 45.427295, reg: 528.465860, reg_best: 507.344713
step:  49, lambda: 0.01600, attack: 1.000, cls: 45.673946, reg: 527.330817, reg_best: 507.344713
step:  50, lambda: 0.01600, attack: 1.000, cls: 45.736289, reg: 527.855591, reg_best: 507.344713
step:  51, lambda: 0.01600, attack: 1.000, cls: 45.918950, reg: 527.656567, reg_best: 507.344713
up lambda from 0.01600 to 0.03200
step:  52, lambda: 0.03200, attack: 1.000, cls: 46.244671, reg: 527.778717, reg_best: 507.344713
step:  53, lambda: 0.03200, attack: 1.000, cls: 46.315481, reg: 527.106192, reg_best: 507.344713
step:  54, lambda: 0.03200, attack: 1.000, cls: 46.493927, reg: 527.319965, reg_best: 507.344713
step:  55, lambda: 0.03200, attack: 1.000, cls: 46.521249, reg: 523.304376, reg_best: 507.344713
step:  56, lambda: 0.03200, attack: 1.000, cls: 46.658387, reg: 520.668796, reg_best: 507.344713
